fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
241,LA LIBERTAD,0509,35997,16198,6357,8088,4624,19387,9216,28603
248,NUEVO CUSCATLAN,0510,6897,3125,923,2072,714,4307,3335,7642
255,SANTA TECLA,0511,121908,87034,16940,7867,4502,10229,6204,16433
259,QUEZALTEPEQUE,0512,52643,24240,10459,10117,5721,1911,2328,4239
257,SACACOYO,0513,12299,6409,3185,1508,894,2010,1778,3788
244,SAN JOSE VILLANUEVA,0514,13576,7837,2718,1897,880,3701,1844,5545
261,SAN JUAN OPICO,0515,74280,32049,11200,18923,9496,3447,3798,7245
260,SAN MATIAS,0516,7314,719,438,3868,2153,1832,1725,3557
262,SAN PABLO TACACHICO,0517,20366,3442,1916,8864,5230,20633,18704,39337
246,TAMANIQUE,0518,13544,2439,1373,5616,3847,14477,10459,24936
252,TALNIQUE,0519,8254,3032,1789,1696,1589,9413,7626,17039
249,TEOTEPEQUE,0520,12320,565,685,5594,5285,37407,26868,64275
254,TEPECOYO,0521,14322,5318,2876,3126,2770,5636,4043,9679
243,ZARAGOZA,0522,22525,13974,3867,3102,1365,10570,9417,19987
226,AGUILARES,0601,21267,13525,4937,1510,521,3978,5152,9130
223,APOPA,0602,131286,87758,38113,0,0,2266,3683,5949
219,AYUTUXTEPEQUE,0603,34710,24435,7738,0,0,987,1723,2710
215,CUSCATANCINGO,0604,66400,45838,18210,0,0,1392,1395,2787
227,EL PAISNAL,0605,14551,4486,2078,5438,2283,1961,3102,5063
225,GUAZAPA,0606,22906,8879,5262,5716,2861,1439,1113,2552
214,ILOPANGO,0607,103862,73848,28166,0,0,362,271,633
218,MEJICANOS,0608,140751,104367,31741,0,0,37588,21671,59259
224,NEJAPA,0609,29458,11857,4338,8418,4370,5973,1666,7639
210,PANCHIMALCO,0610,41260,9109,6218,8248,16030,3057,3452,6509
209,ROSARIO DE MORA,0611,11377,2808,2135,3357,2927,4200,2817,7017
211,SAN MARCOS,0612,63209,44205,15841,0,0,589,863,1452
221,SAN MARTIN,0613,72758,44862,18917,3591,2830,28109,10964,39073
217,SAN SALVADOR,0614,316090,241831,64403,0,0,8281,4173,12454
213,SANTIAGO TEXACUANGOS,0615,19428,7644,4452,4189,2740,4115,1282,5397
212,SANTO TOMAS,0616,25344,12689,5622,3885,2611,3496,1795,5291
216,SOYAPANGO,0617,241403,169465,66421,0,0,3564,2055,5619
222,TONACATEPEQUE,0618,90896,54340,22149,7046,5457,34291,16032,50323
