,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,URBANO,RURAL
135,MERCEDES LA CEIBA,804,0804,485,152
136,OLOCUILTA,805,0805,15917,13612
137,PARAISO DE OSORIO,806,0806,1751,976
138,SAN ANTONIO MASAHUAT,807,0807,1101,3157
139,SAN EMIGDIO,808,0808,1373,1445
140,SAN FRANCISCO CHINAMECA,809,0809,2659,4728
141,SAN JUAN NONUALCO,810,0810,7600,9656
142,SAN JUAN TALPA,811,0811,4536,3171
143,SAN JUAN TEPEZONTES,812,0812,1320,2310
144,SAN LUIS TALPA,813,0813,13218,8457
145,SAN MIGUEL TEPEZONTES,814,0814,2567,2517
146,SAN PEDRO MASAHUAT,815,0815,13116,12330
147,SAN PEDRO NONUALCO,816,0816,3119,6133
148,SAN RAFAEL OBRAJUELO,817,0817,5112,4708
149,SANTA MARIA OSTUMA,818,0818,1552,4438
150,SANTIAGO NONUALCO,819,0819,12013,27874
151,TAPALHUACA,820,0820,735,3074
152,ZACATECOLUCA,821,0821,42127,23699
153,SAN LUIS LA HERRADURA,822,0822,8719,11686
154,CINQUERA,901,0901,454,1013
155,GUACOTECTI,902,0902,2419,3131
156,ILOBASCO,903,0903,23778,37732
157,JUTIAPA,904,0904,627,5957
158,SAN ISIDRO,905,0905,1551,6245
159,SENSUNTEPEQUE,906,0906,15395,24937
160,TEJUTEPEQUE,907,0907,2745,4369
161,VICTORIA,908,0908,1312,11314
162,DOLORES,909,0909,1413,4934
163,APASTEPEQUE,1001,1001,4859,13483
164,GUADALUPE,1002,1002,3721,1765
165,SAN CAYETANO ISTEPEQUE,1003,1003,1610,3493
166,SANTA CLARA,1004,1004,947,4402
167,SANTO DOMINGO,1005,1005,2221,4224
168,SAN ESTEBAN CATARINA,1006,1006,2527,3134
169,SAN ILDEFONSO,1007,1007,2182,5617
170,SAN LORENZO,1008,1008,2061,3994
171,SAN SEBASTIAN,1009,1009,6553,7858
172,SAN VICENTE,1010,1010,36700,16513
173,TECOLUCA,1011,1011,10476,13417
174,TEPETITAN,1012,1012,1845,1786
175,VERAPAZ,1013,1013,2455,3802
176,ALEGRIA,1101,1101,1545,10167
177,BERLIN,1102,1102,9782,8005
178,CALIFORNIA,1103,1103,1645,983
179,CONCEPCION BATRES,1104,1104,3214,8983
180,EL TRIUNFO,1105,1105,3072,3852
181,EREGUAYQUIN,1106,1106,1920,4199
182,ESTANZUELAS,1107,1107,3873,5142
183,JIQUILISCO,1108,1108,20270,27514
184,JUCUAPA,1109,1109,10468,7974
185,JUCUARAN,1110,1110,1140,12284
186,MERCEDES UMAÑA,1111,1111,3105,9987
187,NUEVA GRANADA,1112,1112,1311,6140
188,OZATLAN,1113,1113,5083,7360
189,PUERTO EL TRIUNFO,1114,1114,9601,6983
190,SAN AGUSTIN,1115,1115,3125,3393
191,SAN BUENA VENTURA,1116,1116,939,3787
192,SAN DIONISIO,1117,1117,1281,3664
193,SANTA ELENA,1118,1118,5184,12158
194,SAN FRANCISCO JAVIER,1119,1119,1000,4409
195,SANTA MARIA,1120,1120,8196,2535
196,SANTIAGO DE MARIA,1121,1121,14339,3862
197,TECAPAN,1122,1122,3554,4143
198,USULUTAN,1123,1123,51496,21568
199,CAROLINA,1201,1201,1211,7029
200,CIUDAD BARRIOS,1202,1202,8632,16185
201,COMACARAN,1203,1203,448,2751
202,CHAPELTIQUE,1204,1204,2372,8356
203,CHINAMECA,1205,1205,6223,16088
204,CHIRILAGUA,1206,1206,3107,16877
205,EL TRANSITO,1207,1207,7612,10751
206,LOLOTIQUE,1208,1208,4408,10508
207,MONCAGUA,1209,1209,6447,16212
208,NUEVA GUADALUPE,1210,1210,5064,3841
209,NUEVO EDEN DE SAN JUAN,1211,1211,581,3453
210,QUELEPA,1212,1212,2362,1687
211,SAN ANTONIO,1213,1213,426,4878
212,SAN GERARDO,1214,1214,984,5002
213,SAN JORGE,1215,1215,2598,6517
214,SAN LUIS DE LA REINA,1216,1216,1081,4556
215,SAN MIGUEL,1217,1217,158136,60274
216,SAN RAFAEL ORIENTE,1218,1218,5598,7692
217,SESORI,1219,1219,1048,9657
218,ULUAZAPA,1220,1220,1298,2053
219,ARAMBALA,1301,1301,258,1563
220,EL ROSARIO,1307,1307,473,866
221,CACAOPERA,1302,1302,1079,9864
222,CORINTO,1303,1303,3364,12046
223,CHILANGA,1304,1304,1237,8463
224,DELICIAS DE CONCEPCION,1305,1305,2061,3015
225,SAN ISIDRO,1320,1320,747,2057
226,EL DIVISADERO,1306,1306,822,6795
227,GUALOCOCTI,1308,1308,910,2740
228,GUATAJIAGUA,1309,1309,3854,7867
229,JOATECA,1310,1310,810,3400
