,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
416,SAN JORGE,1215,1215,RURAL,NA,78,119,6320
417,SAN LUIS DE LA REINA,1216,1216,URBANO,NA,2,91,988
418,SAN LUIS DE LA REINA,1216,1216,RURAL,NA,49,32,4475
419,SAN MIGUEL,1217,1217,URBANO,1172,3709,27593,125662
420,SAN MIGUEL,1217,1217,RURAL,7,1681,1170,57416
421,SAN RAFAEL ORIENTE,1218,1218,URBANO,NA,87,565,4946
422,SAN RAFAEL ORIENTE,1218,1218,RURAL,NA,170,153,7369
423,SESORI,1219,1219,URBANO,NA,41,77,930
424,SESORI,1219,1219,RURAL,NA,329,63,9265
425,ULUAZAPA,1220,1220,URBANO,1,36,73,1188
426,ULUAZAPA,1220,1220,RURAL,NA,33,65,1955
427,ARAMBALA,1301,1301,URBANO,NA,NA,27,231
428,ARAMBALA,1301,1301,RURAL,NA,NA,23,1540
429,EL ROSARIO,1307,1307,URBANO,NA,NA,24,449
430,EL ROSARIO,1307,1307,RURAL,NA,5,20,841
431,CACAOPERA,1302,1302,URBANO,NA,19,88,972
432,CACAOPERA,1302,1302,RURAL,NA,803,NA,9061
433,CORINTO,1303,1303,URBANO,NA,55,240,3069
434,CORINTO,1303,1303,RURAL,NA,183,39,11824
435,CHILANGA,1304,1304,URBANO,NA,22,74,1141
436,CHILANGA,1304,1304,RURAL,NA,190,128,8145
437,DELICIAS DE CONCEPCION,1305,1305,URBANO,NA,22,170,1869
438,DELICIAS DE CONCEPCION,1305,1305,RURAL,NA,23,66,2926
439,SAN ISIDRO,1320,1320,URBANO,NA,2,23,722
440,SAN ISIDRO,1320,1320,RURAL,NA,8,11,2038
441,EL DIVISADERO,1306,1306,URBANO,NA,23,72,727
442,EL DIVISADERO,1306,1306,RURAL,NA,98,340,6357
443,GUALOCOCTI,1308,1308,URBANO,NA,18,35,857
444,GUALOCOCTI,1308,1308,RURAL,NA,218,6,2516
445,GUATAJIAGUA,1309,1309,URBANO,NA,189,106,3559
446,GUATAJIAGUA,1309,1309,RURAL,NA,167,62,7638
447,JOATECA,1310,1310,URBANO,NA,1,90,719
448,JOATECA,1310,1310,RURAL,NA,45,10,3345
449,JOCOAITIQUE,1311,1311,URBANO,NA,18,22,785
450,JOCOAITIQUE,1311,1311,RURAL,NA,26,58,1968
451,JOCORO,1312,1312,URBANO,NA,67,542,2445
452,JOCORO,1312,1312,RURAL,NA,226,264,6516
453,LOLOTIQUILLO,1313,1313,URBANO,NA,19,74,931
454,LOLOTIQUILLO,1313,1313,RURAL,NA,89,51,3751
455,MEANGUERA,1314,1314,URBANO,NA,74,42,1419
456,MEANGUERA,1314,1314,RURAL,NA,171,92,6020
457,OSCICALA,1315,1315,URBANO,2,NA,348,1639
458,OSCICALA,1315,1315,RURAL,NA,149,95,6676
459,PERQUIN,1316,1316,URBANO,NA,4,78,99
460,PERQUIN,1316,1316,RURAL,NA,91,81,2805
461,SAN CARLOS,1317,1317,URBANO,NA,24,131,842
462,SAN CARLOS,1317,1317,RURAL,NA,38,51,3086
463,SAN FERNANDO,1318,1318,URBANO,NA,8,39,171
464,SAN FERNANDO,1318,1318,RURAL,1,41,7,1441
465,SAN FRANCISCO GOTERA,1319,1319,URBANO,6,373,1717,13211
466,SAN FRANCISCO GOTERA,1319,1319,RURAL,530,168,163,4881
467,SAN SIMON,1321,1321,URBANO,NA,48,92,1410
468,SAN SIMON,1321,1321,RURAL,NA,346,64,8142
469,SENSEMBRA,1322,1322,URBANO,NA,19,33,743
470,SENSEMBRA,1322,1322,RURAL,NA,39,NA,2106
471,SOCIEDAD,1323,1323,URBANO,NA,88,69,911
472,SOCIEDAD,1323,1323,RURAL,NA,643,168,9527
473,TOROLA,1324,1324,URBANO,NA,8,4,207
474,TOROLA,1324,1324,RURAL,NA,93,4,2726
475,YAMABAL,1325,1325,URBANO,NA,28,55,463
476,YAMABAL,1325,1325,RURAL,NA,106,72,3622
477,YOLOAIQUIN,1326,1326,URBANO,NA,23,56,559
478,YOLOAIQUIN,1326,1326,RURAL,3,40,45,2887
479,ANAMOROS,1401,1401,URBANO,NA,114,169,1507
480,ANAMOROS,1401,1401,RURAL,NA,629,137,11995
481,BOLIVAR,1402,1402,URBANO,NA,1,53,455
482,BOLIVAR,1402,1402,RURAL,NA,101,106,3499
483,CONCEPCION DE ORIENTE,1403,1403,URBANO,NA,38,88,890
484,CONCEPCION DE ORIENTE,1403,1403,RURAL,NA,207,49,6907
485,CONCHAGUA,1404,1404,URBANO,193,241,1327,15264
486,CONCHAGUA,1404,1404,RURAL,NA,228,364,19745
487,EL CARMEN,1405,1405,URBANO,NA,26,90,1671
488,EL CARMEN,1405,1405,RURAL,NA,222,347,9968
489,EL SAUCE,1406,1406,URBANO,NA,16,70,809
490,EL SAUCE,1406,1406,RURAL,NA,301,89,5261
491,INTIPUCA,1407,1407,URBANO,NA,75,134,2670
492,INTIPUCA,1407,1407,RURAL,NA,87,78,4523
493,LA UNION,1408,1408,URBANO,NA,489,2260,15297
494,LA UNION,1408,1408,RURAL,NA,236,451,15312
495,LISLIQUE,1409,1409,URBANO,NA,23,46,570
496,LISLIQUE,1409,1409,RURAL,NA,447,110,12189
497,MEANGUERA DEL GOLFO,1410,1410,URBANO,NA,8,37,407
498,MEANGUERA DEL GOLFO,1410,1410,RURAL,1,56,38,1851
499,NUEVA ESPARTA,1411,1411,URBANO,NA,6,160,1181
500,NUEVA ESPARTA,1411,1411,RURAL,NA,78,77,8135
501,PASAQUINA,1412,1412,URBANO,NA,102,336,3115
502,PASAQUINA,1412,1412,RURAL,NA,248,399,12175
503,POLOROS,1413,1413,URBANO,NA,8,76,932
504,POLOROS,1413,1413,RURAL,NA,239,89,8357
505,SAN ALEJO,1414,1414,URBANO,NA,61,295,2616
506,SAN ALEJO,1414,1414,RURAL,NA,274,324,14028
507,SAN JOSE,1415,1415,URBANO,NA,40,60,715
508,SAN JOSE,1415,1415,RURAL,NA,7,40,2109
509,SANTA ROSA DE LIMA,1416,1416,URBANO,NA,433,1702,11505
510,SANTA ROSA DE LIMA,1416,1416,RURAL,NA,241,468,13344
511,YAYANTIQUE,1417,1417,URBANO,NA,20,69,2812
512,YAYANTIQUE,1417,1417,RURAL,1,133,74,3762
513,YUCUAIQUIN,1418,1418,URBANO,NA,22,131,1026
514,YUCUAIQUIN,1418,1418,RURAL,NA,658,154,4808
