fid,NOM_MUN,COD,COD_MUN4,POB_TOTAL,urbano_na,urbano_nr,urbano_si,urbano_no,rural_na,rura_nr,rural_si,rural_no,urbano_na,urbano_nr,rural_na,rural_nr,total_urbano,total_rural,total,porcentaje_SI,porcentaje_NO,SI_Urbano,SI_Rural
201,SAN JULIAN,312,0312,18648,NA,126,116,9218,1,96,4,9087,0,126,1,96,9460,9188,18648,0.65,99.35,1.24,0.04
204,SANTA CATARINA MASAHUAT,313,0313,10076,NA,73,3,4210,NA,144,0,5646,0,73,0,144,4286,5790,10076,0.03,99.97,0.07,0
271,SANTO DOMINGO DE GUZMAN,314,0314,7055,NA,43,5,2229,NA,30,0,4748,0,43,0,30,2277,4778,7055,0.07,99.93,0.22,0
200,SONSONATE,315,0315,71541,536,1159,1922,45512,NA,295,14,22103,536,1159,0,295,49129,22412,71541,2.78,97.22,4.05,0.06
208,SONZACATE,316,0316,25005,115,284,808,23798,,,0,0,115,284,0,0,25005,0,25005,3.28,96.72,3.28,#¡DIV/0!
2,AGUA CALIENTE,401,0401,8261,NA,43,44,1897,NA,91,8,6178,0,43,0,91,1984,6277,8261,0.64,99.36,2.27,0.13
62,ARCATAO,402,0402,2946,NA,38,8,903,2,37,7,1951,0,38,2,37,949,1997,2946,0.52,99.48,0.88,0.36
24,AZACUALPA,403,0403,1136,NA,1,8,518,NA,NA,0,609,0,1,0,0,527,609,1136,0.7,99.3,1.52,0
5,CITALA,404,0404,4164,NA,5,36,1327,NA,98,4,2694,0,5,0,98,1368,2796,4164,0.98,99.02,2.64,0.15
63,COMALAPA,405,0405,2996,NA,8,0,778,NA,15,5,2190,0,8,0,15,786,2210,2996,0.17,99.83,0,0.23
14,CONCEPCION QUEZALTEPEQUE,406,0406,6457,NA,123,51,2824,NA,94,6,3359,0,123,0,94,2998,3459,6457,0.91,99.09,1.77,0.18
15,CHALATENANGO,407,0407,29271,690,270,471,15545,NA,138,91,12066,690,270,0,138,16976,12295,29271,1.99,98.01,2.94,0.75
10,DULCE NOMBRE DE MARIA,408,0408,5051,NA,83,42,1980,NA,25,9,2912,0,83,0,25,2105,2946,5051,1.03,98.97,2.08,0.31
65,EL CARRIZAL,409,0409,2464,NA,3,0,366,NA,22,0,2073,0,3,0,22,369,2095,2464,0,100,0,0
11,EL PARAISO,410,0410,10483,NA,24,34,2793,21,58,5,7548,0,24,21,58,2851,7632,10483,0.38,99.62,1.2,0.07
64,LA LAGUNA,411,0411,3923,NA,NA,12,421,NA,35,0,3455,0,0,0,35,433,3490,3923,0.31,99.69,2.77,0
3,LA PALMA,412,0412,12235,NA,38,104,2776,NA,136,8,9173,0,38,0,136,2918,9317,12235,0.93,99.07,3.61,0.09
7,LA REINA,413,0413,9525,1,53,38,1944,32,137,11,7309,1,53,32,137,2036,7489,9525,0.53,99.47,1.92,0.15
17,LAS VUELTAS,414,0414,940,NA,NA,0,301,NA,1,3,635,0,0,0,1,301,639,940,0.32,99.68,0,0.47
60,NOMBRE DE JESUS,415,0415,4484,1,4,9,803,1,64,0,3602,1,4,1,64,817,3667,4484,0.2,99.8,1.11,0
1,NUEVA CONCEPCION,416,0416,28625,NA,107,195,9543,28,328,22,18402,0,107,28,328,9845,18780,28625,0.77,99.23,2,0.12
16,NUEVA TRINIDAD,417,0417,1673,NA,7,0,214,NA,NA,0,1452,0,7,0,0,221,1452,1673,0,100,0,0
18,OJOS DE AGUA,418,0418,3667,NA,5,0,795,NA,29,1,2837,0,5,0,29,800,2867,3667,0.03,99.97,0,0.04
21,POTONICO,419,0419,1586,NA,32,7,728,NA,4,0,815,0,32,0,4,767,819,1586,0.45,99.55,0.95,0
59,SAN ANTONIO DE LA CRUZ,420,0420,1854,NA,6,0,123,NA,30,0,1695,0,6,0,30,129,1725,1854,0,100,0,0
23,SAN ANTONIO LOS RANCHOS,421,0421,1619,NA,9,5,604,NA,6,0,995,0,9,0,6,618,1001,1619,0.31,99.69,0.82,0
6,SAN FERNANDO,422,0422,2593,NA,4,0,627,NA,9,0,1953,0,4,0,9,631,1962,2593,0,100,0,0
58,SAN FRANCISCO LEMPA,423,0423,862,NA,6,10,582,NA,NA,0,264,0,6,0,0,598,264,862,1.17,98.83,1.69,0
8,SAN FRANCISCO MORAZAN,424,0424,3919,1,3,0,700,NA,49,0,3166,1,3,0,49,704,3215,3919,0,100,0,0
4,SAN IGNACIO,425,0425,8611,NA,7,39,1187,NA,137,21,7220,0,7,0,137,1233,7378,8611,0.71,99.29,3.18,0.29
19,SAN ISIDRO LABRADOR,426,0426,2592,NA,20,4,1110,NA,20,6,1432,0,20,0,20,1134,1458,2592,0.39,99.61,0.36,0.42
20,CANCASQUE,427,0427,1751,NA,NA,0,668,NA,20,0,1063,0,0,0,20,668,1083,1751,0,100,0,0
61,LAS FLORES,428,0428,1583,NA,8,0,577,NA,12,0,986,0,8,0,12,585,998,1583,0,100,0,0
25,SAN LUIS DEL CARMEN,429,0429,1173,NA,1,0,274,NA,3,2,893,0,1,0,3,275,898,1173,0.17,99.83,0,0.22
22,SAN MIGUEL DE MERCEDES,430,0430,2487,NA,24,10,993,NA,13,6,1441,0,24,0,13,1027,1460,2487,0.65,99.35,1,0.41
12,SAN RAFAEL,431,0431,4264,NA,9,16,1641,NA,4,3,2591,0,9,0,4,1666,2598,4264,0.45,99.55,0.97,0.12
13,SANTA RITA,432,0432,5985,1,16,0,383,NA,31,19,5535,1,16,0,31,400,5585,5985,0.32,99.68,0,0.34
9,TEJUTLA,433,0433,13608,NA,170,29,5230,NA,233,38,7908,0,170,0,233,5429,8179,13608,0.51,99.49,0.55,0.48
251,ANTIGUO CUSCATLAN,501,0501,33698,138,765,15385,17410,,,0,0,138,765,0,0,33698,0,33698,46.91,53.09,46.91,#¡DIV/0!
258,CIUDAD ARCE,502,0502,60314,NA,1365,392,39726,NA,976,57,17798,0,1365,0,976,41483,18831,60314,0.77,99.23,0.98,0.32
256,COLON,503,0503,96989,66,2830,1659,86657,NA,103,44,5630,66,2830,0,103,91212,5777,96989,1.81,98.19,1.88,0.78
250,COMASAGUA,504,0504,11870,NA,99,14,2759,NA,120,0,8878,0,99,0,120,2872,8998,11870,0.12,99.88,0.5,0
247,CHILTIUPAN,505,0505,10897,5,NA,2,770,NA,90,31,9999,5,0,0,90,777,10120,10897,0.31,99.69,0.26,0.31
245,HUIZUCAR,506,0506,14465,5,732,49,4055,NA,328,10,9286,5,732,0,328,4841,9624,14465,0.44,99.56,1.19,0.11
253,JAYAQUE,507,0507,11058,NA,399,56,6439,NA,298,10,3856,0,399,0,298,6894,4164,11058,0.64,99.36,0.86,0.26
242,JICALAPA,508,0508,5116,NA,NA,0,420,NA,24,6,4666,0,0,0,24,420,4696,5116,0.12,99.88,0,0.13
241,LA LIBERTAD,509,0509,35997,20,480,210,22393,41,131,64,12658,20,480,41,131,23103,12894,35997,0.78,99.22,0.93,0.5
248,NUEVO CUSCATLAN,510,0510,6897,NA,31,77,3967,NA,29,345,2448,0,31,0,29,4075,2822,6897,6.17,93.83,1.9,12.35
255,SANTA TECLA,511,0511,121908,752,4809,29512,73767,7,1028,984,11049,752,4809,7,1028,108840,13068,121908,26.45,73.55,28.58,8.18
259,QUEZALTEPEQUE,512,0512,52643,129,1353,964,33716,NA,586,24,15871,129,1353,0,586,36162,16481,52643,1.95,98.05,2.78,0.15
257,SACACOYO,513,0513,12299,NA,267,61,9544,NA,25,1,2401,0,267,0,25,9872,2427,12299,0.52,99.48,0.64,0.04
244,SAN JOSE VILLANUEVA,514,0514,13576,4,205,253,10275,NA,69,162,2608,4,205,0,69,10737,2839,13576,3.12,96.88,2.4,5.85
261,SAN JUAN OPICO,515,0515,74280,10,2134,1235,41607,132,1035,309,27818,10,2134,132,1035,44986,29294,74280,2.18,97.82,2.88,1.1
260,SAN MATIAS,516,0516,7314,NA,7,24,1136,NA,99,20,6028,0,7,0,99,1167,6147,7314,0.61,99.39,2.07,0.33
