fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
128,EL SAUCE,1406,6546,70,809,89,5261,414,5129,5543
131,INTIPUCA,1407,7567,134,2670,78,4523,159,7116,7275
141,LA UNION,1408,34045,2260,15297,451,15312,64,3535,3599
133,LISLIQUE,1409,13385,46,570,110,12189,1305,38129,39434
142,MEANGUERA DEL GOLFO,1410,2398,37,407,38,1851,631,24225,24856
132,NUEVA ESPARTA,1411,9637,160,1181,77,8135,701,16389,17090
126,PASAQUINA,1412,16375,336,3115,399,12175,4258,60122,64380
134,POLOROS,1413,9701,76,932,89,8357,569,9136,9705
125,SAN ALEJO,1414,17598,295,2616,324,14028,364,19704,20068
138,SAN JOSE,1415,2971,60,715,40,2109,201,8933,9134
127,SANTA ROSA DE LIMA,1416,27693,1702,11505,468,13344,124,5843,5967
139,YAYANTIQUE,1417,6871,69,2812,74,3762,31,2687,2718
136,YUCUAIQUIN,1418,6799,131,1026,154,4808,46,2735,2781
237,AHUACHAPAN,0101,110511,5988,56681,592,45650,105,4956,5061
230,APANECA,0102,8383,342,2577,78,5318,57,2501,2558
236,ATIQUIZAYA,0103,33587,2099,18612,197,12483,16,610,626
231,CONCEPCION DE ATACO,0104,12786,404,5414,16,6578,2684,56871,59555
235,EL REFUGIO,0105,8171,514,5684,40,1807,248,7381,7629
270,GUAYMANGO,0106,19037,87,1186,29,17557,28,6453,6481
229,JUJUTLA,0107,28599,172,6705,137,21319,165,6910,7075
232,SAN FRANCISCO MENENDEZ,0108,42607,574,11727,263,29788,27,1433,1460
238,SAN LORENZO,0109,9194,99,1022,158,7873,2185,37070,39255
228,SAN PEDRO PUXTLA,0110,7773,142,1730,35,5832,261,12286,12547
233,TACUBA,0111,29858,245,4590,85,24504,172,5257,5429
234,TURIN,0112,8997,549,5822,40,2554,110,5181,5291
32,CANDELARIA DE LA FRONTERA,0201,22686,596,7476,391,13826,242,5393,5635
34,COATEPEQUE,0202,36768,703,12211,371,22496,4781,45532,50313
37,CHALCHUAPA,0203,74038,5342,41333,404,25471,125,4682,4807
38,EL CONGO,0204,24219,1076,13350,156,9367,202,9286,9488
35,EL PORVENIR,0205,8232,68,845,109,7101,168,11197,11365
30,MASAHUAT,0206,3393,35,463,28,2839,1880,18092,19972
26,METAPAN,0207,59004,2541,16350,1050,38075,33,2849,2882
27,SAN ANTONIO PAJONAL,0208,3279,85,1198,29,1936,127,4085,4212
36,SAN SEBASTIAN SALITRILLO,0209,18566,1445,15671,27,1041,182,3928,4110
33,SANTA ANA,0210,245421,32689,162249,662,39454,412,7084,7496
29,SANTA ROSA GUACHIPILIN,0211,4930,33,398,87,4385,806,8961,9767
28,SANTIAGO DE LA FRONTERA,0212,5196,67,1337,43,3674,279,14893,15172
31,TEXISTEPEQUE,0213,17923,344,2676,352,13866,619,16644,17263
196,ACAJUTLA,0301,52359,1634,22910,330,26343,735,15290,16025
202,ARMENIA,0302,34912,1408,21623,116,10583,2170,24849,27019
198,CALUCO,0303,9139,65,1536,39,7453,159,6070,6229
195,CUISNAHUAT,0304,12676,67,2921,12,9644,306,13502,13808
194,SANTA ISABEL ISHUATAN,0305,10241,19,785,63,9351,1691,35009,36700
203,IZALCO,0306,70959,2565,36402,333,30266,212,7193,7405
207,JUAYUA,0307,24465,1415,12097,130,10380,237,9316,9553
206,NAHUIZALCO,0308,49081,841,32024,103,15074,156,12759,12915
197,NAHULINGO,0309,10417,462,6760,8,3020,165,9289,9454
205,SALCOATITAN,0310,5484,165,1843,39,3384,137,7797,7934
199,SAN ANTONIO DEL MONTE,0311,26902,1577,17895,33,6773,285,5834,6119
201,SAN JULIAN,0312,18648,482,8873,63,9052,159,3954,4113
204,SANTA CATARINA MASAHUAT,0313,10076,87,4134,12,5634,100,2824,2924
271,SANTO DOMINGO DE GUZMAN,0314,7055,92,2151,11,4767,143,6574,6717
200,SONSONATE,0315,71541,7302,40300,184,21994,437,11639,12076
208,SONZACATE,0316,25005,3242,21455,0,0,2711,30609,33320
2,AGUA CALIENTE,0401,8261,252,1690,178,6013,75,2258,2333
62,ARCATAO,0402,2946,44,868,11,1950,1694,45610,47304
24,AZACUALPA,0403,1136,105,415,50,559,1108,16159,17267
5,CITALA,0404,4164,127,1234,56,2673,95,5273,5368
63,COMALAPA,0405,2996,106,680,50,2146,215,7450,7665
14,CONCEPCION QUEZALTEPEQUE,0406,6457,217,2654,145,3242,52,2548,2600
15,CHALATENANGO,0407,29271,2579,13477,749,11401,304,12101,12405
10,DULCE NOMBRE DE MARIA,0408,5051,230,1794,72,2849,663,9906,10569
65,EL CARRIZAL,0409,2464,0,366,31,2039,323,5738,6061
11,EL PARAISO,0410,10483,350,2477,183,7370,6335,64812,71147
64,LA LAGUNA,0411,3923,48,385,66,3401,540,11523,12063
3,LA PALMA,0412,12235,347,2528,250,8931,71,4857,4928
7,LA REINA,0413,9525,169,1825,87,7253,597,15934,16531
17,LAS VUELTAS,0414,940,20,281,15,623,273,13122,13395
60,NOMBRE DE JESUS,0415,4484,31,784,134,3483,140,10195,10335
1,NUEVA CONCEPCION,0416,28625,1166,8605,351,18090,12,3986,3998
16,NUEVA TRINIDAD,0417,1673,16,198,24,1428,60,6218,6278
18,OJOS DE AGUA,0418,3667,22,775,48,2795,118,5822,5940
21,POTONICO,0419,1586,61,674,25,790,123,5463,5586
59,SAN ANTONIO DE LA CRUZ,0420,1854,6,117,46,1649,75,7990,8065
23,SAN ANTONIO LOS RANCHOS,0421,1619,19,594,23,969,41,5208,5249
6,SAN FERNANDO,0422,2593,13,614,16,1944,925,21741,22666
58,SAN FRANCISCO LEMPA,0423,862,77,515,2,262,728,9762,10490
8,SAN FRANCISCO MORAZAN,0424,3919,39,661,33,3119,489,14217,14706
4,SAN IGNACIO,0425,8611,180,1050,292,6998,876,21617,22493
19,SAN ISIDRO LABRADOR,0426,2592,54,1065,45,1400,1010,7851,8861
20,CANCASQUE,0427,1751,0,668,5,1058,1236,20709,21945
61,LAS FLORES,0428,1583,45,532,28,958,339,8640,8979
25,SAN LUIS DEL CARMEN,0429,1173,11,263,20,872,212,3770,3982
22,SAN MIGUEL DE MERCEDES,0430,2487,105,898,30,1417,28763,183078,211841
12,SAN RAFAEL,0431,4264,124,1533,165,2425,718,12315,13033
13,SANTA RITA,0432,5985,43,336,212,5352,912,17288,18200
9,TEJUTLA,0433,13608,321,4943,203,7744,468,19182,19650
251,ANTIGUO CUSCATLAN,0501,33698,20734,12178,0,0,138,3143,3281
258,CIUDAD ARCE,0502,60314,2382,37985,402,17531,77,3061,3138
256,COLON,0503,96989,9469,79298,224,5459,237,10438,10675
250,COMASAGUA,0504,11870,200,2571,74,8833,88,10033,10121
247,CHILTIUPAN,0505,10897,22,750,141,9885,46,1612,1658
245,HUIZUCAR,0506,14465,229,4210,152,9243,50,1771,1821
253,JAYAQUE,0507,11058,359,6167,116,3770,159,2904,3063
242,JICALAPA,0508,5116,7,413,18,4654,80,2753,2833
241,LA LIBERTAD,0509,35997,959,21677,237,12538,8,2933,2941
248,NUEVO CUSCATLAN,0510,6897,404,3629,447,2341,34,2760,2794
255,SANTA TECLA,0511,121908,52239,51582,1283,10916,44,1290,1334
259,QUEZALTEPEQUE,0512,52643,4386,30367,218,15746,134,7439,7573
257,SACACOYO,0513,12299,529,9109,37,2365,100,4064,4164
244,SAN JOSE VILLANUEVA,0514,13576,692,9868,219,2563,156,9552,9708
261,SAN JUAN OPICO,0515,74280,4488,38695,1191,27181,41,3373,3414
260,SAN MATIAS,0516,7314,83,1074,95,5944,236,4795,5031
262,SAN PABLO TACACHICO,0517,20366,412,4938,262,13842,101,3446,3547
246,TAMANIQUE,0518,13544,139,3680,162,9341,447,12537,12984
252,TALNIQUE,0519,8254,188,4639,63,3241,443,8315,8758
249,TEOTEPEQUE,0520,12320,49,1225,122,10806,82,10136,10218
254,TEPECOYO,0521,14322,427,7792,33,5903,79,12565,12644
