fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
259,QUEZALTEPEQUE,0512,52643,964,33716,24,15871,988,49587,50575
257,SACACOYO,0513,12299,61,9544,1,2401,62,11945,12007
244,SAN JOSE VILLANUEVA,0514,13576,253,10275,162,2608,415,12883,13298
261,SAN JUAN OPICO,0515,74280,1235,41607,309,27818,1544,69425,70969
260,SAN MATIAS,0516,7314,24,1136,20,6028,44,7164,7208
262,SAN PABLO TACACHICO,0517,20366,71,5176,62,14085,133,19261,19394
246,TAMANIQUE,0518,13544,22,3797,10,9478,32,13275,13307
252,TALNIQUE,0519,8254,15,4787,18,3281,33,8068,8101
249,TEOTEPEQUE,0520,12320,7,1260,13,10905,20,12165,12185
254,TEPECOYO,0521,14322,73,8128,4,5924,77,14052,14129
243,ZARAGOZA,0522,22525,844,16984,86,4375,930,21359,22289
226,AGUILARES,0601,21267,298,17984,27,1949,325,19933,20258
223,APOPA,0602,131286,1933,123266,0,0,1933,123266,125199
219,AYUTUXTEPEQUE,0603,34710,2180,29904,0,0,2180,29904,32084
215,CUSCATANCINGO,0604,66400,1482,61976,0,0,1482,61976,63458
227,EL PAISNAL,0605,14551,34,6512,7,7706,41,14218,14259
225,GUAZAPA,0606,22906,203,13959,34,8555,237,22514,22751
214,ILOPANGO,0607,103862,3819,97671,0,0,3819,97671,101490
218,MEJICANOS,0608,140751,14873,120762,0,0,14873,120762,135635
224,NEJAPA,0609,29458,296,15832,11,12685,307,28517,28824
210,PANCHIMALCO,0610,41260,347,14914,94,24017,441,38931,39372
209,ROSARIO DE MORA,0611,11377,72,4887,9,6275,81,11162,11243
211,SAN MARCOS,0612,63209,3418,56396,0,0,3418,56396,59814
221,SAN MARTIN,0613,72758,795,62706,45,6182,840,68888,69728
217,SAN SALVADOR,0614,316090,60203,244195,0,0,60203,244195,304398
213,SANTIAGO TEXACUANGOS,0615,19428,165,11894,58,6812,223,18706,18929
