,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
413,SAN GERARDO,1214,1214,URBANO,NA,21,679,284
414,SAN GERARDO,1214,1214,RURAL,NA,74,3590,1338
415,SAN JORGE,1215,1215,URBANO,NA,59,1646,893
416,SAN JORGE,1215,1215,RURAL,NA,131,3974,2412
417,SAN LUIS DE LA REINA,1216,1216,URBANO,NA,2,712,367
418,SAN LUIS DE LA REINA,1216,1216,RURAL,NA,66,3256,1234
419,SAN MIGUEL,1217,1217,URBANO,1172,3798,118238,34928
420,SAN MIGUEL,1217,1217,RURAL,7,1824,42611,15832
421,SAN RAFAEL ORIENTE,1218,1218,URBANO,NA,105,3869,1624
422,SAN RAFAEL ORIENTE,1218,1218,RURAL,NA,126,4869,2697
423,SESORI,1219,1219,URBANO,NA,42,754,252
424,SESORI,1219,1219,RURAL,NA,523,6179,2955
425,ULUAZAPA,1220,1220,URBANO,1,53,573,671
426,ULUAZAPA,1220,1220,RURAL,NA,21,1086,946
427,ARAMBALA,1301,1301,URBANO,NA,NA,215,43
428,ARAMBALA,1301,1301,RURAL,NA,41,816,706
429,EL ROSARIO,1307,1307,URBANO,NA,NA,243,230
430,EL ROSARIO,1307,1307,RURAL,NA,32,649,185
431,CACAOPERA,1302,1302,URBANO,NA,28,494,557
432,CACAOPERA,1302,1302,RURAL,NA,770,2309,6785
433,CORINTO,1303,1303,URBANO,NA,56,2252,1056
434,CORINTO,1303,1303,RURAL,NA,450,7263,4333
435,CHILANGA,1304,1304,URBANO,NA,37,674,526
436,CHILANGA,1304,1304,RURAL,NA,244,4401,3818
437,DELICIAS DE CONCEPCION,1305,1305,URBANO,NA,78,1286,697
438,DELICIAS DE CONCEPCION,1305,1305,RURAL,NA,24,1739,1252
439,SAN ISIDRO,1320,1320,URBANO,NA,2,151,594
440,SAN ISIDRO,1320,1320,RURAL,NA,24,666,1367
441,EL DIVISADERO,1306,1306,URBANO,NA,14,563,245
442,EL DIVISADERO,1306,1306,RURAL,NA,106,4396,2293
443,GUALOCOCTI,1308,1308,URBANO,NA,18,351,541
444,GUALOCOCTI,1308,1308,RURAL,NA,225,937,1578
445,GUATAJIAGUA,1309,1309,URBANO,NA,177,1821,1856
446,GUATAJIAGUA,1309,1309,RURAL,NA,377,4013,3477
447,JOATECA,1310,1310,URBANO,NA,7,491,312
448,JOATECA,1310,1310,RURAL,NA,56,1881,1463
449,JOCOAITIQUE,1311,1311,URBANO,NA,18,485,322
450,JOCOAITIQUE,1311,1311,RURAL,NA,80,1003,969
451,JOCORO,1312,1312,URBANO,NA,66,2180,808
452,JOCORO,1312,1312,RURAL,NA,243,5008,1755
453,LOLOTIQUILLO,1313,1313,URBANO,NA,19,411,594
454,LOLOTIQUILLO,1313,1313,RURAL,NA,106,2037,1748
455,MEANGUERA,1314,1314,URBANO,NA,78,681,776
456,MEANGUERA,1314,1314,RURAL,NA,211,3176,2896
457,OSCICALA,1315,1315,URBANO,2,9,1300,678
458,OSCICALA,1315,1315,RURAL,NA,269,3924,2727
459,PERQUIN,1316,1316,URBANO,NA,4,157,20
460,PERQUIN,1316,1316,RURAL,NA,130,1458,1389
461,SAN CARLOS,1317,1317,URBANO,NA,38,534,425
462,SAN CARLOS,1317,1317,RURAL,NA,63,1557,1555
463,SAN FERNANDO,1318,1318,URBANO,NA,8,151,59
464,SAN FERNANDO,1318,1318,RURAL,1,48,613,828
465,SAN FRANCISCO GOTERA,1319,1319,URBANO,6,390,8560,6351
466,SAN FRANCISCO GOTERA,1319,1319,RURAL,530,193,3427,1592
467,SAN SIMON,1321,1321,URBANO,NA,46,884,620
468,SAN SIMON,1321,1321,RURAL,NA,377,3528,4647
469,SENSEMBRA,1322,1322,URBANO,NA,32,417,346
470,SENSEMBRA,1322,1322,RURAL,NA,52,1187,906
471,SOCIEDAD,1323,1323,URBANO,NA,104,621,343
472,SOCIEDAD,1323,1323,RURAL,NA,572,6747,3019
473,TOROLA,1324,1324,URBANO,NA,12,123,84
474,TOROLA,1324,1324,RURAL,NA,88,788,1947
475,YAMABAL,1325,1325,URBANO,NA,28,344,174
476,YAMABAL,1325,1325,RURAL,NA,110,1936,1754
477,YOLOAIQUIN,1326,1326,URBANO,NA,23,374,241
478,YOLOAIQUIN,1326,1326,RURAL,3,65,1913,994
479,ANAMOROS,1401,1401,URBANO,NA,110,1095,585
480,ANAMOROS,1401,1401,RURAL,NA,487,9264,3010
481,BOLIVAR,1402,1402,URBANO,NA,8,295,206
482,BOLIVAR,1402,1402,RURAL,NA,113,2759,834
483,CONCEPCION DE ORIENTE,1403,1403,URBANO,NA,30,730,256
484,CONCEPCION DE ORIENTE,1403,1403,RURAL,NA,188,5183,1792
485,CONCHAGUA,1404,1404,URBANO,193,254,12532,4046
486,CONCHAGUA,1404,1404,RURAL,NA,411,14193,5733
487,EL CARMEN,1405,1405,URBANO,NA,26,1083,678
488,EL CARMEN,1405,1405,RURAL,NA,276,7373,2888
489,EL SAUCE,1406,1406,URBANO,NA,13,388,494
490,EL SAUCE,1406,1406,RURAL,NA,253,4111,1287
491,INTIPUCA,1407,1407,URBANO,NA,91,2159,629
492,INTIPUCA,1407,1407,RURAL,NA,77,3493,1118
493,LA UNION,1408,1408,URBANO,NA,521,13151,4374
494,LA UNION,1408,1408,RURAL,NA,291,11087,4621
495,LISLIQUE,1409,1409,URBANO,NA,27,448,164
496,LISLIQUE,1409,1409,RURAL,NA,508,7984,4254
497,MEANGUERA DEL GOLFO,1410,1410,URBANO,NA,16,182,254
498,MEANGUERA DEL GOLFO,1410,1410,RURAL,1,48,845,1052
499,NUEVA ESPARTA,1411,1411,URBANO,NA,8,1007,332
500,NUEVA ESPARTA,1411,1411,RURAL,NA,178,5765,2347
501,PASAQUINA,1412,1412,URBANO,NA,119,1984,1450
502,PASAQUINA,1412,1412,RURAL,NA,257,9134,3431
503,POLOROS,1413,1413,URBANO,NA,31,579,406
504,POLOROS,1413,1413,RURAL,NA,335,6285,2065
505,SAN ALEJO,1414,1414,URBANO,NA,84,1721,1167
506,SAN ALEJO,1414,1414,RURAL,NA,333,10743,3550
507,SAN JOSE,1415,1415,URBANO,NA,40,478,297
508,SAN JOSE,1415,1415,RURAL,NA,34,1535,587
509,SANTA ROSA DE LIMA,1416,1416,URBANO,NA,439,10187,3014
510,SANTA ROSA DE LIMA,1416,1416,RURAL,NA,216,10597,3240
511,YAYANTIQUE,1417,1417,URBANO,NA,18,2016,867
512,YAYANTIQUE,1417,1417,RURAL,1,114,2855,1000
513,YUCUAIQUIN,1418,1418,URBANO,NA,39,688,452
514,YUCUAIQUIN,1418,1418,RURAL,NA,495,2882,2243
