,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
416,SAN JORGE,1215,1216,RURAL,NA,140,18,6359
417,SAN LUIS DE LA REINA,1216,1217,URBANO,NA,15,NA,1066
418,SAN LUIS DE LA REINA,1216,1217,RURAL,NA,44,NA,4512
419,SAN MIGUEL,1217,1218,URBANO,1172,4384,9308,143272
420,SAN MIGUEL,1217,1218,RURAL,7,2214,96,57957
421,SAN RAFAEL ORIENTE,1218,1219,URBANO,NA,122,83,5393
422,SAN RAFAEL ORIENTE,1218,1219,RURAL,NA,87,8,7597
423,SESORI,1219,1220,URBANO,NA,36,10,1002
424,SESORI,1219,1220,RURAL,NA,371,8,9278
425,ULUAZAPA,1220,1221,URBANO,1,36,7,1254
426,ULUAZAPA,1220,1221,RURAL,NA,35,NA,2018
427,ARAMBALA,1301,1302,URBANO,NA,NA,2,256
428,ARAMBALA,1301,1302,RURAL,NA,11,4,1548
429,EL ROSARIO,1307,1308,URBANO,NA,NA,3,470
430,EL ROSARIO,1307,1308,RURAL,NA,2,NA,864
431,CACAOPERA,1302,1303,URBANO,NA,11,9,1059
432,CACAOPERA,1302,1303,RURAL,NA,883,NA,8981
433,CORINTO,1303,1304,URBANO,NA,69,62,3233
434,CORINTO,1303,1304,RURAL,NA,258,NA,11788
435,CHILANGA,1304,1305,URBANO,NA,26,25,1186
436,CHILANGA,1304,1305,RURAL,NA,190,10,8263
437,DELICIAS DE CONCEPCION,1305,1306,URBANO,NA,22,72,1967
438,DELICIAS DE CONCEPCION,1305,1306,RURAL,NA,7,7,3001
439,SAN ISIDRO,1320,1321,URBANO,NA,2,9,736
440,SAN ISIDRO,1320,1321,RURAL,NA,8,NA,2049
441,EL DIVISADERO,1306,1307,URBANO,NA,72,8,742
442,EL DIVISADERO,1306,1307,RURAL,NA,115,43,6637
443,GUALOCOCTI,1308,1309,URBANO,NA,25,5,880
444,GUALOCOCTI,1308,1309,RURAL,NA,218,NA,2522
445,GUATAJIAGUA,1309,1310,URBANO,NA,205,28,3621
446,GUATAJIAGUA,1309,1310,RURAL,NA,176,10,7681
447,JOATECA,1310,1311,URBANO,NA,1,6,803
448,JOATECA,1310,1311,RURAL,NA,52,4,3344
449,JOCOAITIQUE,1311,1312,URBANO,NA,18,NA,807
450,JOCOAITIQUE,1311,1312,RURAL,NA,26,NA,2026
451,JOCORO,1312,1313,URBANO,NA,115,90,2849
452,JOCORO,1312,1313,RURAL,NA,352,26,6628
453,LOLOTIQUILLO,1313,1314,URBANO,NA,21,25,978
454,LOLOTIQUILLO,1313,1314,RURAL,NA,90,14,3787
455,MEANGUERA,1314,1315,URBANO,NA,78,3,1454
456,MEANGUERA,1314,1315,RURAL,NA,189,12,6082
457,OSCICALA,1315,1316,URBANO,2,NA,102,1885
458,OSCICALA,1315,1316,RURAL,NA,184,4,6732
459,PERQUIN,1316,1317,URBANO,NA,4,21,156
460,PERQUIN,1316,1317,RURAL,NA,99,5,2873
461,SAN CARLOS,1317,1318,URBANO,NA,24,27,946
462,SAN CARLOS,1317,1318,RURAL,NA,38,NA,3137
463,SAN FERNANDO,1318,1319,URBANO,NA,8,NA,210
464,SAN FERNANDO,1318,1319,RURAL,1,41,NA,1448
465,SAN FRANCISCO GOTERA,1319,1320,URBANO,6,463,475,14363
466,SAN FRANCISCO GOTERA,1319,1320,RURAL,530,166,6,5040
467,SAN SIMON,1321,1322,URBANO,NA,48,18,1484
468,SAN SIMON,1321,1322,RURAL,NA,361,NA,8191
469,SENSEMBRA,1322,1323,URBANO,NA,27,12,756
470,SENSEMBRA,1322,1323,RURAL,NA,43,NA,2102
471,SOCIEDAD,1323,1324,URBANO,NA,90,13,965
472,SOCIEDAD,1323,1324,RURAL,NA,672,4,9662
473,TOROLA,1324,1325,URBANO,NA,8,NA,211
474,TOROLA,1324,1325,RURAL,NA,78,NA,2745
475,YAMABAL,1325,1326,URBANO,NA,28,10,508
476,YAMABAL,1325,1326,RURAL,NA,113,8,3679
477,YOLOAIQUIN,1326,1327,URBANO,NA,18,20,600
478,YOLOAIQUIN,1326,1327,RURAL,3,46,12,2914
479,ANAMOROS,1401,1402,URBANO,NA,124,55,1611
480,ANAMOROS,1401,1402,RURAL,NA,814,7,11940
481,BOLIVAR,1402,1403,URBANO,NA,14,7,488
482,BOLIVAR,1402,1403,RURAL,NA,86,1,3619
483,CONCEPCION DE ORIENTE,1403,1404,URBANO,NA,35,32,949
484,CONCEPCION DE ORIENTE,1403,1404,RURAL,NA,209,10,6944
485,CONCHAGUA,1404,1405,URBANO,193,244,362,16226
486,CONCHAGUA,1404,1405,RURAL,NA,247,28,20062
487,EL CARMEN,1405,1406,URBANO,NA,26,20,1741
488,EL CARMEN,1405,1406,RURAL,NA,251,36,10250
489,EL SAUCE,1406,1407,URBANO,NA,16,16,863
490,EL SAUCE,1406,1407,RURAL,NA,361,15,5275
491,INTIPUCA,1407,1408,URBANO,NA,94,46,2739
492,INTIPUCA,1407,1408,RURAL,NA,86,8,4594
493,LA UNION,1408,1409,URBANO,NA,622,736,16688
494,LA UNION,1408,1409,RURAL,NA,264,30,15705
495,LISLIQUE,1409,1410,URBANO,NA,53,12,574
496,LISLIQUE,1409,1410,RURAL,NA,713,31,12002
497,MEANGUERA DEL GOLFO,1410,1411,URBANO,NA,8,NA,444
498,MEANGUERA DEL GOLFO,1410,1411,RURAL,1,83,NA,1862
499,NUEVA ESPARTA,1411,1412,URBANO,NA,13,44,1290
500,NUEVA ESPARTA,1411,1412,RURAL,NA,142,9,8139
501,PASAQUINA,1412,1413,URBANO,NA,137,82,3334
502,PASAQUINA,1412,1413,RURAL,NA,232,38,12552
503,POLOROS,1413,1414,URBANO,NA,19,10,987
504,POLOROS,1413,1414,RURAL,NA,285,26,8374
505,SAN ALEJO,1414,1415,URBANO,NA,58,47,2867
506,SAN ALEJO,1414,1415,RURAL,NA,315,17,14294
507,SAN JOSE,1415,1416,URBANO,NA,40,4,771
508,SAN JOSE,1415,1416,RURAL,NA,23,16,2117
509,SANTA ROSA DE LIMA,1416,1417,URBANO,NA,500,532,12608
510,SANTA ROSA DE LIMA,1416,1417,RURAL,NA,367,63,13623
511,YAYANTIQUE,1417,1418,URBANO,NA,23,13,2865
512,YAYANTIQUE,1417,1418,RURAL,1,164,4,3801
513,YUCUAIQUIN,1418,1419,URBANO,NA,22,51,1106
514,YUCUAIQUIN,1418,1419,RURAL,NA,825,34,4761
