,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
97,DULCE NOMBRE DE MARIA,408,0408,RURAL,NA,25,9,2912
98,EL CARRIZAL,409,0409,URBANO,NA,3,NA,366
99,EL CARRIZAL,409,0409,RURAL,NA,22,NA,2073
100,EL PARAISO,410,0410,URBANO,NA,24,34,2793
101,EL PARAISO,410,0410,RURAL,21,58,5,7548
102,LA LAGUNA,411,0411,URBANO,NA,NA,12,421
103,LA LAGUNA,411,0411,RURAL,NA,35,NA,3455
104,LA PALMA,412,0412,URBANO,NA,38,104,2776
105,LA PALMA,412,0412,RURAL,NA,136,8,9173
106,LA REINA,413,0413,URBANO,1,53,38,1944
107,LA REINA,413,0413,RURAL,32,137,11,7309
108,LAS VUELTAS,414,0414,URBANO,NA,NA,NA,301
109,LAS VUELTAS,414,0414,RURAL,NA,1,3,635
110,NOMBRE DE JESUS,415,0415,URBANO,1,4,9,803
111,NOMBRE DE JESUS,415,0415,RURAL,1,64,NA,3602
112,NUEVA CONCEPCION,416,0416,URBANO,NA,107,195,9543
113,NUEVA CONCEPCION,416,0416,RURAL,28,328,22,18402
114,NUEVA TRINIDAD,417,0417,URBANO,NA,7,NA,214
115,NUEVA TRINIDAD,417,0417,RURAL,NA,NA,NA,1452
116,OJOS DE AGUA,418,0418,URBANO,NA,5,NA,795
117,OJOS DE AGUA,418,0418,RURAL,NA,29,1,2837
118,SAN FERNANDO,422,0422,URBANO,NA,4,NA,627
119,SAN FERNANDO,422,0422,RURAL,NA,9,NA,1953
120,POTONICO,419,0419,URBANO,NA,32,7,728
121,POTONICO,419,0419,RURAL,NA,4,NA,815
122,SAN ANTONIO DE LA CRUZ,420,0420,URBANO,NA,6,NA,123
123,SAN ANTONIO DE LA CRUZ,420,0420,RURAL,NA,30,NA,1695
124,SAN ANTONIO LOS RANCHOS,421,0421,URBANO,NA,9,5,604
125,SAN ANTONIO LOS RANCHOS,421,0421,RURAL,NA,6,NA,995
126,SAN FRANCISCO LEMPA,423,0423,URBANO,NA,6,10,582
127,SAN FRANCISCO LEMPA,423,0423,RURAL,NA,NA,NA,264
128,SAN FRANCISCO MORAZAN,424,0424,URBANO,1,3,NA,700
129,SAN FRANCISCO MORAZAN,424,0424,RURAL,NA,49,NA,3166
130,SAN IGNACIO,425,0425,URBANO,NA,7,39,1187
131,SAN IGNACIO,425,0425,RURAL,NA,137,21,7220
