"NOM_DPTO,C,254","COD_DPTO,C,254","NOM_MUN,C,254","COD_MUN4,C,254","TASA_POBR,N,19,11","POBR_FISDL,C,20","AREA_KM2,N,19,11","POB_TOTAL,N,9,0","POB_HOMB,N,9,0","POB_MUJER,N,9,0","value,N,24,15","area_calc,N,11,2","value_int,N,2,0"
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830014.75,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,830020.41,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830023.20,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830017.61,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830020.44,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,830025.96,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830023.24,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,830028.69,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830026.00,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,830031.38,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830028.72,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830034.03,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,830031.41,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.500000000000000,483338.26,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,830034.07,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,607171.48,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.000000000000000,82000.22,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,31906.48,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,2899.39,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,64152.04,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,219296.28,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,65350.85,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,82354.13,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,747372.19,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829984.18,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829987.39,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829990.56,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,76582.42,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,2.000000000000000,829993.70,2
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,4.500000000000000,733811.36,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,829996.81,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.500000000000000,830023.17,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,829999.88,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.000000000000000,830025.93,5
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.500000000000000,830002.92,7
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,221871.76,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,5.500000000000000,830028.66,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,9.000000000000000,830005.92,9
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829996.85,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,830031.35,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,9.000000000000000,830008.88,9
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,829999.92,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,3.500000000000000,723649.11,4
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,8.500000000000000,830011.82,9
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830002.95,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.000000000000000,155343.43,6
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,0.000000000000000,830005.95,0
CHALATENANGO,04,NUEVA CONCEPCION,0416,46.60000000000,Pobreza Moderada,343.80921945500,28625,13491,15134,6.500000000000000,830014.71,7
